epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,95.8021,1.91975,0.52252,0.88589,1.53365,0.00332574,0.00332574,0.00332574
2,185.546,1.3058,0.26126,0.84384,2.50621,0.00659315,0.00659315,0.00659315
3,274.998,1.1049,0.47447,0.87688,1.71742,0.00979456,0.00979456,0.00979456
4,364.59,1.01272,0.46246,0.91291,1.51021,0.009703,0.009703,0.009703
5,454.25,0.85425,0.47748,0.96697,1.22652,0.009604,0.009604,0.009604
6,544.005,0.78011,0.79279,0.98799,0.55165,0.009505,0.009505,0.009505
7,633.901,0.71051,0.75075,0.997,0.67896,0.009406,0.009406,0.009406
8,723.848,0.66816,0.82583,0.997,0.48733,0.009307,0.009307,0.009307
9,813.797,0.63096,0.85285,1,0.43815,0.009208,0.009208,0.009208
10,903.772,0.59841,0.85285,1,0.45524,0.009109,0.009109,0.009109
11,993.747,0.57506,0.85586,1,0.43931,0.00901,0.00901,0.00901
12,1083.72,0.53576,0.85886,1,0.39183,0.008911,0.008911,0.008911
13,1173.69,0.53041,0.87988,0.997,0.33856,0.008812,0.008812,0.008812
14,1263.65,0.4914,0.88589,1,0.349,0.008713,0.008713,0.008713
15,1353.62,0.47206,0.89189,1,0.29936,0.008614,0.008614,0.008614
16,1443.6,0.48266,0.85586,1,0.41866,0.008515,0.008515,0.008515
17,1533.54,0.45369,0.90691,1,0.27303,0.008416,0.008416,0.008416
18,1623.52,0.43587,0.88889,0.997,0.30716,0.008317,0.008317,0.008317
19,1713.48,0.45045,0.8979,1,0.36098,0.008218,0.008218,0.008218
20,1803.44,0.42639,0.9039,0.997,0.32319,0.008119,0.008119,0.008119
21,1893.39,0.40857,0.90991,1,0.32441,0.00802,0.00802,0.00802
22,1983.38,0.39836,0.9009,1,0.29521,0.007921,0.007921,0.007921
23,2073.35,0.38915,0.9009,1,0.32191,0.007822,0.007822,0.007822
24,2163.36,0.3696,0.91291,1,0.24788,0.007723,0.007723,0.007723
25,2253.36,0.37371,0.89489,0.997,0.25901,0.007624,0.007624,0.007624
26,2343.37,0.34656,0.90991,1,0.26467,0.007525,0.007525,0.007525
27,2433.33,0.33614,0.91592,0.997,0.28788,0.007426,0.007426,0.007426
28,2523.31,0.33176,0.93393,1,0.23993,0.007327,0.007327,0.007327
29,2613.34,0.33445,0.91892,0.997,0.29878,0.007228,0.007228,0.007228
30,2703.33,0.33492,0.92793,1,0.24832,0.007129,0.007129,0.007129
31,2793.33,0.32784,0.93694,0.997,0.24318,0.00703,0.00703,0.00703
32,2883.31,0.30404,0.93093,1,0.2278,0.006931,0.006931,0.006931
33,2973.29,0.29574,0.94595,1,0.19813,0.006832,0.006832,0.006832
34,3063.3,0.3173,0.92793,1,0.19851,0.006733,0.006733,0.006733
35,3153.32,0.31543,0.91592,0.997,0.27939,0.006634,0.006634,0.006634
36,3243.31,0.28404,0.94595,1,0.18913,0.006535,0.006535,0.006535
37,3333.33,0.28136,0.93994,1,0.2077,0.006436,0.006436,0.006436
38,3423.33,0.27316,0.93093,1,0.19996,0.006337,0.006337,0.006337
39,3513.34,0.25529,0.94294,1,0.20001,0.006238,0.006238,0.006238
40,3603.37,0.25534,0.93994,1,0.19928,0.006139,0.006139,0.006139
41,3693.44,0.24679,0.92793,1,0.22976,0.00604,0.00604,0.00604
42,3783.43,0.245,0.93994,1,0.20082,0.005941,0.005941,0.005941
43,3873.5,0.24257,0.93393,1,0.20394,0.005842,0.005842,0.005842
